topic_id;words
42;graph neural, node, graphs, link prediction, graph convolutional, graph learning, representation learning, graph representation, convolutional, node classification
43;neutrino, neutrinos, oscillations, mass, dark, flavor, dark matter, decay, oscillation, masses
44;superresolution, image superresolution, restoration, image restoration, video, denoising, image compression, quality, quality assessment, image quality
45;logic, automata, boolean, logics, modal, semantics, proof, proofs, checking, sat
46;solar, coronal, flare, wind, magnetic, observations, flares, corona, flux, sun
47;recommendation, recommender, recommender systems, recommendations, collaborative filtering, collaborative, user, recommendation systems, personalized, item
48;plasma, plasmas, laser, electron, ionization, ion, acceleration, magnetized, turbulence, beam
49;federated, federated learning, client, learning federated, personalized federated, personalized, privacy, heterogeneous, aggregation, decentralized
50;bilayer, twisted, graphite, hall, moire, electronic, tunable, quantum hall, superconductivity, valley
51;question, answering, question answering, knowledge, knowledge graph, retrieval, retrievalaugmented, retrievalaugmented generation, knowledge graphs, comprehension
52;schrodinger, nonlinear schrodinger, equations, wave, operators, wave equations, wellposedness, blowup, kdv, potentials
53;action, action recognition, recognition, reality, activity recognition, activity, gaze, human activity, hand, human
54;visionlanguage, multimodal, visionlanguage models, reasoning, visual, multimodal large, language, vision language, video, vision
55;climate, seismic, weather, assimilation, precipitation, earthquake, ocean, inversion, forecasting, sea
56;turbulence, turbulent, convection, vortex, waves, turbulent flows, reynolds, water, stratified, instability
57;transformers, attention, transformer, vision, vision transformers, vision transformer, gans, generative adversarial, adversarial networks, gan
58;uav, aerial, drone, uavs, swarm, trajectory, unmanned, swarms, unmanned aerial, flight
59;texttoimage, editing, image generation, video, video generation, diffusion models, style, texttoimage diffusion, style transfer, scene graph
60;groups, subgroups, finite groups, finite, abelian, abelian groups, conjugacy, subgroup, nilpotent, automorphism
61;blockchain, smart, smart contracts, contracts, fraud, contract, transaction, decentralized, transactions, secure
62;privacy, private, differentially private, differentially, differential privacy, privacypreserving, privacy preserving, preserving, utility, privacyaware
63;games, game, nash, mean field, equilibria, mean, equilibrium, nash equilibrium, zerosum, stackelberg
64;brownian, brownian motion, stochastic differential, sdes, equations, differential equations, motion, reactiondiffusion, spdes, fractional
65;codes, decoding, polar, coding, cyclic, constructions, list, decoder, weight, selfdual
66;dialogue, chatgpt, dialog, conversational, taskoriented, gender, state tracking, conversation, gender bias, personality
67;anomaly, anomaly detection, outlier, outlier detection, time series, unsupervised, anomalies, industrial, outliers, novelty
68;physicsinformed, physicsinformed neural, differential equations, partial differential, pdes, equations, pde, operator, physics informed, reduced order
69;segmentation, semantic segmentation, semantic, instance segmentation, instance, object segmentation, video object, video, image segmentation, object
70;community, community detection, complex networks, centrality, social networks, social, communities, multiplex, temporal networks, multiplex networks
71;metamaterials, plasmonic, metamaterial, plasmon, surface, dielectric, mechanical, tunable, optical, acoustic
72;news, fake, opinion, social, misinformation, media, social media, twitter, political, moderation
73;diffusion models, inverse problems, flow matching, normalizing, diffusion model, normalizing flows, bayesian inverse, linear inverse, generative, guidance
74;supernova, ia, sn, remnant, remnants, explosion, type ii, progenitors, ii, ejecta
75;entanglement, multipartite, entanglement entropy, entangled, quantum entanglement, quantum, bipartite, genuine, maximally, witnesses
76;boseeinstein, bose, condensates, condensate, superfluid, gas, gases, condensation, dipolar, vortex
77;neutron, neutron stars, star, stars, mergers, merger, gravitational, nuclear, quark, equations state
78;matrices, markov, random matrices, markov chains, chains, levy, central limit, levy processes, random variables, limit
79;telescope, astronomy, astronomical, sky, observatory, telescopes, radio, science, astrophysics, space telescope
80;detector, detectors, readout, liquid, pixel, argon, silicon, chamber, xenon, prototype
81;knots, knot, links, braid, homology, invariants, torus, concordance, groups, virtual
82;materials, interatomic, potentials, additive manufacturing, molecular, manufacturing, crystal, material, molecular dynamics, force
83;remote sensing, remote, sensing, crop, plant, imagery, sensing image, leaf, segmentation, satellite
84;summarization, sentiment, sentiment analysis, topic, abstractive, topic modeling, aspect, sentiment classification, text, multidocument
