Topic,Words,Frequency,Timestamp
80,"detector, detectors, liquid, readout, silicon",104,2018-12-29 08:05:16.800
81,"knots, knot, links, braid, homology",170,2018-12-29 08:05:16.800
82,"materials, molecular, force fields, interatomic, force",66,2018-12-29 08:05:16.800
83,"remote sensing, remote, leaf, sensing, satellite",41,2018-12-29 08:05:16.800
84,"sentiment, summarization, sentiment analysis, topic, sentiment classification",64,2018-12-29 08:05:16.800
-1,"quantum, spin, equations, magnetic, optical",28011,2019-05-14 03:36:00.000
0,"galaxies, galaxy, stars, stellar, star",2392,2019-05-14 03:36:00.000
1,"hall, magnetic, spin, superconductivity, films",2003,2019-05-14 03:36:00.000
2,"collisions, production, decays, qcd, lhc",4312,2019-05-14 03:36:00.000
3,"curvature, surfaces, curves, manifolds, bundles",1459,2019-05-14 03:36:00.000
4,"gravity, gauge, theories, inflation, cosmological",1353,2019-05-14 03:36:00.000
5,"mimo, wireless, massive, iot, 5g",815,2019-05-14 03:36:00.000
6,"graphs, trees, hypergraphs, domination, ramsey",933,2019-05-14 03:36:00.000
7,"machine translation, translation, language, neural machine, word",544,2019-05-14 03:36:00.000
8,"segmentation, mri, ct, medical, medical image",604,2019-05-14 03:36:00.000
9,"black, black hole, hole, black holes, holes",706,2019-05-14 03:36:00.000
10,"speech, music, speech recognition, audio, speaker",470,2019-05-14 03:36:00.000
11,"quantum, quantum systems, circuits, quantum circuits, quantum mechanics",408,2019-05-14 03:36:00.000
12,"time series, carlo, forecasting, monte carlo, monte",597,2019-05-14 03:36:00.000
13,"ai, intelligence, citation, artificial intelligence, creativity",258,2019-05-14 03:36:00.000
14,"nonconvex, convex, descent, gradient descent, proximal",483,2019-05-14 03:36:00.000
15,"algebras, lie, modules, categories, algebra",529,2019-05-14 03:36:00.000
16,"photonic, optical, cavity, fiber, laser",457,2019-05-14 03:36:00.000
17,"protein, cell, dna, molecular, gene",339,2019-05-14 03:36:00.000
18,"brain, spiking, eeg, spiking neural, neuromorphic",305,2019-05-14 03:36:00.000
19,"market, volatility, financial, stock, portfolio",322,2019-05-14 03:36:00.000
20,"deep neural, architecture search, pruning, neural architecture, training",394,2019-05-14 03:36:00.000
21,"reinforcement learning, reinforcement, policy, deep reinforcement, markov decision",281,2019-05-14 03:36:00.000
22,"granular, porous, polymer, droplets, droplet",435,2019-05-14 03:36:00.000
23,"load, grid, electricity, power systems, electric",319,2019-05-14 03:36:00.000
24,"traffic, autonomous, driving, planning, autonomous driving",229,2019-05-14 03:36:00.000
25,"object detection, object, point cloud, cloud, lidar",261,2019-05-14 03:36:00.000
26,"epidemic, covid19, infection, disease, viral",99,2019-05-14 03:36:00.000
27,"domain adaptation, adaptation, label, multilabel, semisupervised",281,2019-05-14 03:36:00.000
28,"imitation, robot, imitation learning, grasping, grasp",179,2019-05-14 03:36:00.000
29,"causal, treatment, quantile, causal inference, survival",194,2019-05-14 03:36:00.000
30,"dark, dark matter, dark energy, axion, searches",408,2019-05-14 03:36:00.000
31,"optimal control, predictive control, model predictive, predictive, kalman",221,2019-05-14 03:36:00.000
32,"navierstokes, navierstokes equations, compressible, galerkin, equations",292,2019-05-14 03:36:00.000
33,"gammaray, pulsar, bursts, pulsars, xray",696,2019-05-14 03:36:00.000
34,"software, repair, program, agile, bug",168,2019-05-14 03:36:00.000
35,"depth, depth estimation, stereo, monocular, splatting",187,2019-05-14 03:36:00.000
36,"gpu, cloud, serverless, hpc, persistent memory",277,2019-05-14 03:36:00.000
37,"adversarial, attacks, adversarial attacks, adversarial examples, examples",239,2019-05-14 03:36:00.000
38,"elliptic, fractional, equations, elliptic equations, laplacian",332,2019-05-14 03:36:00.000
39,"operators, sobolev, inequalities, banach, inequality",318,2019-05-14 03:36:00.000
40,"clinical, health, medical, records, biomedical",160,2019-05-14 03:36:00.000
41,"face, facial, face recognition, fashion, recognition",220,2019-05-14 03:36:00.000
42,"graph neural, network embedding, graph convolutional, node, convolutional",177,2019-05-14 03:36:00.000
43,"neutrino, neutrinos, experiment, oscillations, highenergy",624,2019-05-14 03:36:00.000
44,"superresolution, image superresolution, denoising, image compression, image restoration",184,2019-05-14 03:36:00.000
45,"logic, automata, boolean, logics, semantics",282,2019-05-14 03:36:00.000
46,"solar, coronal, flare, magnetic, wind",253,2019-05-14 03:36:00.000
47,"recommendation, recommender, recommender systems, collaborative filtering, recommendations",189,2019-05-14 03:36:00.000
48,"plasma, plasmas, laser, electron, ionization",261,2019-05-14 03:36:00.000
49,"federated, federated learning, learning federated, decentralized, heterogeneous",27,2019-05-14 03:36:00.000
50,"bilayer, twisted, graphite, electronic, hall",314,2019-05-14 03:36:00.000
51,"question, answering, question answering, knowledge, reading comprehension",192,2019-05-14 03:36:00.000
52,"schrodinger, nonlinear schrodinger, equations, wave, wave equations",250,2019-05-14 03:36:00.000
53,"action, action recognition, recognition, activity recognition, activity",182,2019-05-14 03:36:00.000
54,"multimodal, visual, visionlanguage, reasoning, video",47,2019-05-14 03:36:00.000
55,"seismic, climate, earthquake, assimilation, weather",146,2019-05-14 03:36:00.000
56,"turbulence, turbulent, convection, vortex, waves",202,2019-05-14 03:36:00.000
57,"generative adversarial, attention, adversarial networks, gans, transformers",96,2019-05-14 03:36:00.000
58,"uav, uavs, aerial, swarm, trajectory",165,2019-05-14 03:36:00.000
59,"style, style transfer, translation, image synthesis, imagetoimage translation",61,2019-05-14 03:36:00.000
60,"groups, subgroups, finite, finite groups, abelian",216,2019-05-14 03:36:00.000
61,"blockchain, smart contracts, contracts, smart, fraud",201,2019-05-14 03:36:00.000
62,"privacy, private, differential privacy, differentially private, differentially",118,2019-05-14 03:36:00.000
63,"games, game, mean field, equilibria, nash",147,2019-05-14 03:36:00.000
64,"brownian, brownian motion, stochastic differential, equations, differential equations",182,2019-05-14 03:36:00.000
65,"codes, decoding, coding, polar, selfdual",177,2019-05-14 03:36:00.000
66,"dialogue, dialog, taskoriented, conversational, gender",159,2019-05-14 03:36:00.000
67,"anomaly, anomaly detection, outlier, outlier detection, anomalies",77,2019-05-14 03:36:00.000
68,"differential equations, physicsinformed, partial differential, physicsinformed neural, equations",50,2019-05-14 03:36:00.000
69,"segmentation, semantic segmentation, semantic, instance, instance segmentation",122,2019-05-14 03:36:00.000
70,"community, community detection, complex networks, centrality, social networks",168,2019-05-14 03:36:00.000
71,"plasmonic, metamaterials, plasmon, metamaterial, surface",161,2019-05-14 03:36:00.000
72,"news, opinion, fake, social, media",76,2019-05-14 03:36:00.000
73,"inverse problems, diffusion models, bayesian inverse, normalizing, normalizing flows",53,2019-05-14 03:36:00.000
74,"supernova, ia, remnant, remnants, sn",205,2019-05-14 03:36:00.000
75,"entanglement, entangled, multipartite, entanglement entropy, bipartite",130,2019-05-14 03:36:00.000
76,"boseeinstein, bose, condensates, condensate, superfluid",174,2019-05-14 03:36:00.000
77,"neutron, neutron stars, star, stars, mergers",152,2019-05-14 03:36:00.000
78,"matrices, markov, random matrices, levy, markov chains",132,2019-05-14 03:36:00.000
79,"telescope, astronomy, astronomical, sky, observatory",218,2019-05-14 03:36:00.000
80,"detector, detectors, readout, pixel, silicon",262,2019-05-14 03:36:00.000
81,"knots, knot, links, braid, homology",126,2019-05-14 03:36:00.000
82,"materials, molecular, force, additive manufacturing, manufacturing",74,2019-05-14 03:36:00.000
83,"remote sensing, remote, crop, sensing, yield",56,2019-05-14 03:36:00.000
84,"summarization, sentiment, sentiment analysis, topic, abstractive",152,2019-05-14 03:36:00.000
-1,"quantum, equations, magnetic, optical, spin",26430,2019-09-24 07:12:00.000
0,"galaxies, galaxy, stellar, stars, star",2295,2019-09-24 07:12:00.000
1,"magnetic, spin, hall, superconductivity, films",1961,2019-09-24 07:12:00.000
2,"collisions, qcd, production, higgs, decays",1670,2019-09-24 07:12:00.000
3,"surfaces, curvature, curves, manifolds, forms",1552,2019-09-24 07:12:00.000
4,"gravity, gauge, inflation, theories, cosmological",1564,2019-09-24 07:12:00.000
5,"mimo, wireless, iot, beamforming, communications",872,2019-09-24 07:12:00.000
6,"graphs, trees, coloring, hypergraphs, domination",874,2019-09-24 07:12:00.000
7,"machine translation, translation, language, neural machine, word",425,2019-09-24 07:12:00.000
8,"segmentation, mri, ct, cancer, medical",616,2019-09-24 07:12:00.000
9,"black, black hole, black holes, hole, holes",727,2019-09-24 07:12:00.000
10,"speech, speech recognition, speaker, music, audio",474,2019-09-24 07:12:00.000
11,"quantum, quantum systems, manybody, quantum circuits, circuits",431,2019-09-24 07:12:00.000
12,"time series, carlo, monte carlo, monte, forecasting",588,2019-09-24 07:12:00.000
13,"ai, intelligence, artificial intelligence, citation, science",223,2019-09-24 07:12:00.000
14,"nonconvex, convex, descent, gradient descent, proximal",488,2019-09-24 07:12:00.000
15,"algebras, categories, lie, modules, algebra",560,2019-09-24 07:12:00.000
16,"photonic, optical, cavity, laser, photon",534,2019-09-24 07:12:00.000
17,"protein, dna, cell, molecular, drug",315,2019-09-24 07:12:00.000
18,"spiking, brain, eeg, spiking neural, neuromorphic",325,2019-09-24 07:12:00.000
19,"financial, market, pricing, stock, portfolio",371,2019-09-24 07:12:00.000
20,"deep neural, architecture search, training, pruning, architecture",483,2019-09-24 07:12:00.000
21,"reinforcement learning, reinforcement, policy, deep reinforcement, multiagent",328,2019-09-24 07:12:00.000
22,"granular, porous, polymer, suspensions, colloidal",431,2019-09-24 07:12:00.000
23,"electricity, load, storage, wind, grid",376,2019-09-24 07:12:00.000
24,"traffic, autonomous, driving, planning, trajectory",214,2019-09-24 07:12:00.000
25,"object detection, object, point cloud, lidar, cloud",233,2019-09-24 07:12:00.000
26,"epidemic, covid19, infection, disease, pandemic",122,2019-09-24 07:12:00.000
27,"domain adaptation, adaptation, multilabel, unsupervised domain, label",255,2019-09-24 07:12:00.000
28,"imitation, manipulation, imitation learning, robot, robots",164,2019-09-24 07:12:00.000
29,"causal, treatment, quantile, imputation, causal inference",206,2019-09-24 07:12:00.000
30,"dark, dark matter, dark energy, axion, direct detection",366,2019-09-24 07:12:00.000
31,"predictive control, model predictive, predictive, optimal control, kalman",242,2019-09-24 07:12:00.000
32,"navierstokes, navierstokes equations, galerkin, compressible, equations",335,2019-09-24 07:12:00.000
33,"pulsar, xray, gammaray, bursts, pulsars",297,2019-09-24 07:12:00.000
34,"software, repair, program, code generation, engineering",125,2019-09-24 07:12:00.000
35,"depth, stereo, monocular, depth estimation, scene",124,2019-09-24 07:12:00.000
36,"serverless, cloud, gpu, secure, execution",263,2019-09-24 07:12:00.000
37,"adversarial, attacks, adversarial attacks, adversarial examples, adversarial robustness",242,2019-09-24 07:12:00.000
38,"fractional, elliptic, equations, laplacian, elliptic equations",305,2019-09-24 07:12:00.000
39,"operators, sobolev, inequalities, inequality, banach",339,2019-09-24 07:12:00.000
40,"clinical, health, medical, records, biomedical",168,2019-09-24 07:12:00.000
41,"face, facial, face recognition, recognition, expression",190,2019-09-24 07:12:00.000
42,"graph neural, graph convolutional, convolutional networks, graphs, node",218,2019-09-24 07:12:00.000
43,"neutrino, neutrinos, oscillations, decay, mass",303,2019-09-24 07:12:00.000
44,"superresolution, image superresolution, denoising, deblurring, video",171,2019-09-24 07:12:00.000
45,"logic, automata, logics, boolean, modal",221,2019-09-24 07:12:00.000
46,"solar, coronal, flare, wind, magnetic",272,2019-09-24 07:12:00.000
47,"recommendation, recommender, recommender systems, collaborative filtering, recommendations",111,2019-09-24 07:12:00.000
48,"plasma, plasmas, laser, electron, ionization",227,2019-09-24 07:12:00.000
49,"federated, federated learning, learning federated, privacy, vertical federated",70,2019-09-24 07:12:00.000
50,"bilayer, twisted, graphite, electronic, tunable",315,2019-09-24 07:12:00.000
51,"question, answering, question answering, knowledge, knowledge graph",155,2019-09-24 07:12:00.000
52,"schrodinger, nonlinear schrodinger, wave, equations, operators",273,2019-09-24 07:12:00.000
53,"action, action recognition, recognition, reality, gaze",159,2019-09-24 07:12:00.000
54,"visual, multimodal, reasoning, visionlanguage, visual reasoning",34,2019-09-24 07:12:00.000
55,"seismic, climate, assimilation, weather, earthquake",169,2019-09-24 07:12:00.000
56,"turbulence, turbulent, convection, vortex, stratified",228,2019-09-24 07:12:00.000
57,"attention, transformers, generative adversarial, gans, adversarial networks",103,2019-09-24 07:12:00.000
58,"uav, aerial, unmanned, unmanned aerial, drone",132,2019-09-24 07:12:00.000
59,"imagetoimage, imagetoimage translation, style, texttoimage, style transfer",67,2019-09-24 07:12:00.000
60,"groups, subgroups, finite, finite groups, conjugacy",217,2019-09-24 07:12:00.000
61,"blockchain, smart, smart contracts, contracts, fraud",197,2019-09-24 07:12:00.000
62,"privacy, private, differential privacy, differentially private, differentially",120,2019-09-24 07:12:00.000
63,"games, game, nash, equilibria, mean field",160,2019-09-24 07:12:00.000
64,"brownian, brownian motion, sdes, stochastic differential, equations",200,2019-09-24 07:12:00.000
65,"codes, decoding, polar, constructions, coding",206,2019-09-24 07:12:00.000
66,"dialogue, dialog, conversation, conversational, taskoriented",124,2019-09-24 07:12:00.000
67,"anomaly detection, anomaly, outlier, outlier detection, anomalies",83,2019-09-24 07:12:00.000
68,"differential equations, physicsinformed, partial differential, physicsinformed neural, equations",83,2019-09-24 07:12:00.000
69,"segmentation, semantic segmentation, semantic, instance segmentation, instance",109,2019-09-24 07:12:00.000
70,"community, community detection, complex networks, centrality, communities",175,2019-09-24 07:12:00.000
71,"plasmonic, metamaterials, plasmon, metamaterial, surface",171,2019-09-24 07:12:00.000
72,"news, opinion, fake, social, twitter",112,2019-09-24 07:12:00.000
73,"inverse problems, diffusion models, solving inverse, normalizing, bayesian inverse",43,2019-09-24 07:12:00.000
74,"supernova, ia, remnants, remnant, sn",157,2019-09-24 07:12:00.000
75,"entanglement, entanglement entropy, multipartite, entangled, bipartite",126,2019-09-24 07:12:00.000
76,"boseeinstein, condensates, superfluid, bose, condensate",163,2019-09-24 07:12:00.000
77,"neutron, neutron stars, star, stars, mergers",139,2019-09-24 07:12:00.000
78,"matrices, markov, markov chains, random matrices, levy",165,2019-09-24 07:12:00.000
79,"astronomy, astronomical, telescope, sky, observatory",130,2019-09-24 07:12:00.000
80,"detector, detectors, liquid, readout, pixel",122,2019-09-24 07:12:00.000
81,"knots, knot, links, homology, braid",117,2019-09-24 07:12:00.000
82,"materials, molecular, additive manufacturing, printing, manufacturing",60,2019-09-24 07:12:00.000
83,"remote sensing, remote, sensing, crop, plant",63,2019-09-24 07:12:00.000
84,"sentiment, summarization, sentiment analysis, topic, abstractive",106,2019-09-24 07:12:00.000
-1,"quantum, equations, spin, optical, finite",28146,2020-02-04 10:48:00.000
0,"galaxies, galaxy, stars, stellar, star",2309,2020-02-04 10:48:00.000
1,"magnetic, hall, spin, superconductivity, films",2029,2020-02-04 10:48:00.000
2,"collisions, qcd, production, decays, quark",1364,2020-02-04 10:48:00.000
3,"curvature, surfaces, curves, manifolds, polynomials",1491,2020-02-04 10:48:00.000
4,"gravity, gauge, theories, inflation, cosmological",1308,2020-02-04 10:48:00.000
5,"mimo, wireless, communications, iot, beamforming",1044,2020-02-04 10:48:00.000
6,"graphs, trees, hypergraphs, tree, coloring",986,2020-02-04 10:48:00.000
7,"language, machine translation, translation, neural machine, language models",578,2020-02-04 10:48:00.000
8,"segmentation, mri, medical, medical image, cancer",665,2020-02-04 10:48:00.000
9,"black, black hole, hole, black holes, holes",753,2020-02-04 10:48:00.000
10,"speech, speech recognition, speaker, recognition, music",579,2020-02-04 10:48:00.000
11,"quantum, quantum systems, circuits, manybody, quantum circuits",467,2020-02-04 10:48:00.000
12,"time series, carlo, monte, monte carlo, forecasting",632,2020-02-04 10:48:00.000
13,"ai, intelligence, citation, education, agents",284,2020-02-04 10:48:00.000
14,"nonconvex, convex, descent, stochastic gradient, gradient descent",583,2020-02-04 10:48:00.000
15,"algebras, lie, categories, modules, algebra",570,2020-02-04 10:48:00.000
16,"photonic, optical, cavity, fiber, waveguide",491,2020-02-04 10:48:00.000
17,"protein, dna, cell, drug, molecular",353,2020-02-04 10:48:00.000
18,"spiking, brain, eeg, spiking neural, neuromorphic",395,2020-02-04 10:48:00.000
19,"financial, pricing, volatility, market, stock",393,2020-02-04 10:48:00.000
20,"deep neural, pruning, architecture search, neural architecture, dnn",497,2020-02-04 10:48:00.000
21,"reinforcement learning, reinforcement, policy, deep reinforcement, multiagent",310,2020-02-04 10:48:00.000
22,"porous, granular, polymer, droplets, fracture",442,2020-02-04 10:48:00.000
23,"electricity, voltage, load, power systems, optimal power",387,2020-02-04 10:48:00.000
24,"driving, traffic, autonomous, planning, vehicles",310,2020-02-04 10:48:00.000
25,"object detection, object, point cloud, lidar, cloud",317,2020-02-04 10:48:00.000
26,"covid19, epidemic, pandemic, covid19 pandemic, coronavirus",844,2020-02-04 10:48:00.000
27,"domain adaptation, adaptation, label, multilabel, unsupervised domain",360,2020-02-04 10:48:00.000
28,"manipulation, robot, imitation, locomotion, grasping",220,2020-02-04 10:48:00.000
29,"causal, treatment, quantile, causal inference, imputation",255,2020-02-04 10:48:00.000
30,"dark, dark matter, dark energy, axion, halos",361,2020-02-04 10:48:00.000
31,"predictive control, model predictive, predictive, optimal control, nonlinear systems",361,2020-02-04 10:48:00.000
32,"navierstokes, navierstokes equations, galerkin, equations, compressible",336,2020-02-04 10:48:00.000
33,"gammaray, pulsar, bursts, xray, grb",323,2020-02-04 10:48:00.000
34,"software, software engineering, code generation, requirements, agile",154,2020-02-04 10:48:00.000
35,"depth, stereo, depth estimation, monocular, splatting",194,2020-02-04 10:48:00.000
36,"cloud, serverless, encryption, gpu, secure",304,2020-02-04 10:48:00.000
37,"adversarial, attacks, adversarial attacks, adversarial examples, attack",267,2020-02-04 10:48:00.000
38,"elliptic, fractional, equations, laplacian, elliptic equations",383,2020-02-04 10:48:00.000
39,"operators, sobolev, banach, inequality, inequalities",375,2020-02-04 10:48:00.000
40,"health, clinical, medical, electronic health, depression",157,2020-02-04 10:48:00.000
41,"face, facial, face recognition, recognition, expression",259,2020-02-04 10:48:00.000
42,"graph neural, graph convolutional, link prediction, graphs, convolutional networks",211,2020-02-04 10:48:00.000
43,"neutrino, neutrinos, mass, oscillations, dark",254,2020-02-04 10:48:00.000
44,"superresolution, image superresolution, denoising, video, image compression",241,2020-02-04 10:48:00.000
45,"logic, automata, boolean, logics, modal",288,2020-02-04 10:48:00.000
46,"solar, coronal, flare, wind, magnetic",295,2020-02-04 10:48:00.000
47,"recommendation, recommender, recommender systems, collaborative filtering, collaborative",136,2020-02-04 10:48:00.000
48,"plasma, plasmas, electron, laser, ionization",273,2020-02-04 10:48:00.000
49,"federated, federated learning, learning federated, privacypreserving, privacy",88,2020-02-04 10:48:00.000
50,"bilayer, twisted, electronic, graphite, valley",312,2020-02-04 10:48:00.000
51,"question, answering, question answering, knowledge, knowledge graph",175,2020-02-04 10:48:00.000
52,"schrodinger, nonlinear schrodinger, equations, operators, wave",253,2020-02-04 10:48:00.000
53,"action, action recognition, recognition, activity recognition, activity",205,2020-02-04 10:48:00.000
54,"multimodal, visual, reasoning, visionlanguage, vision language",25,2020-02-04 10:48:00.000
55,"climate, seismic, earthquake, assimilation, precipitation",184,2020-02-04 10:48:00.000
56,"turbulence, turbulent, convection, waves, water",237,2020-02-04 10:48:00.000
57,"transformers, generative adversarial, gans, attention, adversarial networks",123,2020-02-04 10:48:00.000
58,"uav, aerial, uavs, unmanned, unmanned aerial",198,2020-02-04 10:48:00.000
59,"image generation, style, style transfer, imagetoimage translation, imagetoimage",59,2020-02-04 10:48:00.000
60,"groups, subgroups, finite, finite groups, abelian groups",214,2020-02-04 10:48:00.000
61,"blockchain, smart contracts, contracts, smart, fraud",230,2020-02-04 10:48:00.000
62,"privacy, private, differentially private, differentially, differential privacy",129,2020-02-04 10:48:00.000
63,"games, game, nash, equilibria, mean field",169,2020-02-04 10:48:00.000
64,"brownian, brownian motion, stochastic differential, equations, differential equations",211,2020-02-04 10:48:00.000
65,"codes, decoding, polar, coding, selfdual",202,2020-02-04 10:48:00.000
66,"dialogue, dialog, taskoriented, conversational, opendomain",150,2020-02-04 10:48:00.000
67,"anomaly, anomaly detection, outlier, outlier detection, anomalies",104,2020-02-04 10:48:00.000
68,"physicsinformed, differential equations, partial differential, physicsinformed neural, equations",86,2020-02-04 10:48:00.000
69,"segmentation, semantic segmentation, semantic, instance segmentation, instance",125,2020-02-04 10:48:00.000
70,"community detection, community, centrality, complex networks, social networks",181,2020-02-04 10:48:00.000
71,"metamaterials, plasmonic, plasmon, metamaterial, surface",175,2020-02-04 10:48:00.000
72,"news, fake, opinion, social, misinformation",102,2020-02-04 10:48:00.000
73,"inverse problems, diffusion models, normalizing, normalizing flows, bayesian inverse",67,2020-02-04 10:48:00.000
74,"supernova, ia, sn, remnant, remnants",142,2020-02-04 10:48:00.000
75,"entanglement, entangled, multipartite, entanglement entropy, genuine",120,2020-02-04 10:48:00.000
76,"boseeinstein, bose, condensate, superfluid, condensates",133,2020-02-04 10:48:00.000
77,"neutron, neutron stars, star, stars, mergers",176,2020-02-04 10:48:00.000
78,"matrices, random matrices, markov, markov chains, chains",152,2020-02-04 10:48:00.000
