Topic,Words,Frequency,Timestamp
67,"clinical, biomedical, entity, clinical notes, notes",67,2019-05-14 03:36:00.000
68,"oscillators, species, kuramoto, fitness, populations",160,2019-05-14 03:36:00.000
69,"gaze, vr, eye, virtual reality, participants",69,2019-05-14 03:36:00.000
70,"mds, selfdual, repair, reedsolomon, bent",138,2019-05-14 03:36:00.000
71,"integrable, orbits, hamiltonian, lax, hamiltonian systems",172,2019-05-14 03:36:00.000
72,"nonhermitian, quantum hall, hall, chern, insulators",140,2019-05-14 03:36:00.000
73,"community detection, centrality, stochastic block, complex networks, block model",164,2019-05-14 03:36:00.000
74,"dislocation, grain, alloys, alloy, grain boundary",123,2019-05-14 03:36:00.000
-1,"spin, video, electron, semantic, social",17258,2019-09-24 07:12:00.000
0,"stars, galaxies, dark, stellar, galaxy",11137,2019-09-24 07:12:00.000
1,"algebras, varieties, polynomials, elliptic, cohomology",6276,2019-09-24 07:12:00.000
2,"wireless, mimo, beamforming, 5g, mmwave",1372,2019-09-24 07:12:00.000
3,"particles, liquid, turbulent, shear, turbulence",1226,2019-09-24 07:12:00.000
4,"segmentation, mri, ct, clinical, cancer",709,2019-09-24 07:12:00.000
5,"speech, audio, speaker, music, speech recognition",612,2019-09-24 07:12:00.000
6,"reinforcement learning, policy, robot, rl, reward",576,2019-09-24 07:12:00.000
7,"vertex, coloring, planar, bipartite, subgraph",912,2019-09-24 07:12:00.000
8,"point cloud, scene, lidar, point clouds, camera",413,2019-09-24 07:12:00.000
9,"brownian, percolation, random walk, brownian motion, levy",828,2019-09-24 07:12:00.000
10,"games, regret, bandit, players, nash",484,2019-09-24 07:12:00.000
11,"qubits, quantum computing, gates, quantum computers, quantum circuits",270,2019-09-24 07:12:00.000
12,"privacy, federated, federated learning, private, differential privacy",257,2019-09-24 07:12:00.000
13,"spin, hall, magnetization, antiferromagnetic, ferromagnetic",616,2019-09-24 07:12:00.000
14,"captioning, vqa, gan, semantic, image captioning",203,2019-09-24 07:12:00.000
15,"estimators, posterior, nonparametric, mcmc, lowrank",534,2019-09-24 07:12:00.000
16,"superconducting, superconductivity, superconductors, superconductor, majorana",506,2019-09-24 07:12:00.000
17,"pruning, nas, architecture search, accelerators, workloads",408,2019-09-24 07:12:00.000
18,"seismic, pdes, physicsinformed, partial differential, earthquake",250,2019-09-24 07:12:00.000
19,"electricity, renewable, voltage, charging, power flow",431,2019-09-24 07:12:00.000
20,"finite element, galerkin, discretization, mesh, discontinuous galerkin",492,2019-09-24 07:12:00.000
21,"logics, automata, semantics, languages, calculus",349,2019-09-24 07:12:00.000
22,"dialogue, news, social, social media, fake news",287,2019-09-24 07:12:00.000
23,"anomaly detection, hyperspectral, remote sensing, sar, imagery",228,2019-09-24 07:12:00.000
24,"developers, source code, bugs, software development, software engineering",171,2019-09-24 07:12:00.000
25,"exciton, monolayer, excitons, phonon, films",459,2019-09-24 07:12:00.000
26,"malware, attacks, iot, malicious, intrusion",171,2019-09-24 07:12:00.000
27,"solar, coronal, reconnection, magnetic field, solar wind",379,2019-09-24 07:12:00.000
28,"bell, quantum mechanics, nonlocality, inequalities, contextuality",327,2019-09-24 07:12:00.000
29,"relu, gradient descent, sgd, learning rate, activation functions",293,2019-09-24 07:12:00.000
30,"trials, treatment effects, covariates, causal inference, observational",178,2019-09-24 07:12:00.000
31,"eeg, brain, ecg, fmri, sleep",207,2019-09-24 07:12:00.000
32,"market, stock, financial, portfolio, volatility",267,2019-09-24 07:12:00.000
33,"metasurfaces, metasurface, photonic, plasmonic, dielectric",349,2019-09-24 07:12:00.000
34,"traffic, vehicles, vehicle, autonomous driving, autonomous vehicles",150,2019-09-24 07:12:00.000
35,"word, machine translation, languages, sentence, multilingual",265,2019-09-24 07:12:00.000
36,"controller, mpc, predictive control, controllers, model predictive",163,2019-09-24 07:12:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, adversarial training",209,2019-09-24 07:12:00.000
38,"education, student, teaching, ethical, courses",104,2019-09-24 07:12:00.000
39,"planning, robots, motion planning, controller, robot",124,2019-09-24 07:12:00.000
40,"recommendation, recommender, items, recommender systems, item",123,2019-09-24 07:12:00.000
41,"nonconvex, optimization problems, proximal, nonsmooth, convex optimization",226,2019-09-24 07:12:00.000
42,"photon, atoms, photons, cavity, trap",302,2019-09-24 07:12:00.000
43,"blockchain, contracts, blockchains, smart contracts, transactions",234,2019-09-24 07:12:00.000
44,"epidemic, disease, infection, covid19, hiv",124,2019-09-24 07:12:00.000
45,"superresolution, video, denoising, image superresolution, deblurring",147,2019-09-24 07:12:00.000
46,"spiking, neurons, neuromorphic, spiking neural, synaptic",190,2019-09-24 07:12:00.000
47,"graphene, bilayer, bilayer graphene, twisted, twisted bilayer",287,2019-09-24 07:12:00.000
48,"action recognition, pose estimation, video, human pose, videos",138,2019-09-24 07:12:00.000
49,"graph neural, gnns, gnn, node classification, link prediction",162,2019-09-24 07:12:00.000
50,"manybody, quantum systems, entanglement entropy, mbl, open quantum",214,2019-09-24 07:12:00.000
51,"traffic, travel, urban, mobility, routing",174,2019-09-24 07:12:00.000
52,"navierstokes, navierstokes equations, compressible, euler, incompressible",235,2019-09-24 07:12:00.000
53,"segmentation, object detection, semantic segmentation, semantic, pascal",138,2019-09-24 07:12:00.000
54,"maml, selfcritique, original paper, sca, results hypothesize",1,2019-09-24 07:12:00.000
55,"superfluid, boseeinstein, bose, condensate, vortex",259,2019-09-24 07:12:00.000
56,"protein, drug, molecular, molecules, proteins",82,2019-09-24 07:12:00.000
57,"question answering, qa, query, documents, rag",98,2019-09-24 07:12:00.000
58,"domain adaptation, active learning, fewshot, unlabeled, semisupervised",123,2019-09-24 07:12:00.000
59,"selfattention, language modeling, transformers, heads, rnn",23,2019-09-24 07:12:00.000
60,"face recognition, facial, fingerprint, deepfake, forgery",120,2019-09-24 07:12:00.000
61,"molecular, dft, molecules, potential energy, interatomic",74,2019-09-24 07:12:00.000
62,"plasma, plasmas, ion, electron, tokamak",140,2019-09-24 07:12:00.000
63,"laser, fiber, comb, soliton, combs",193,2019-09-24 07:12:00.000
64,"key distribution, quantum key, qkd, secret, secure",103,2019-09-24 07:12:00.000
65,"beam, laser, electron, plasma, bunch",151,2019-09-24 07:12:00.000
66,"climate, weather, precipitation, forecasting, assimilation",100,2019-09-24 07:12:00.000
67,"clinical, biomedical, notes, entity, clinical notes",73,2019-09-24 07:12:00.000
68,"oscillators, species, kuramoto, fitness, chimera",160,2019-09-24 07:12:00.000
69,"gaze, vr, eye, virtual reality, immersive",88,2019-09-24 07:12:00.000
70,"mds, selfdual, reedsolomon, hamming, codewords",144,2019-09-24 07:12:00.000
71,"hamiltonian, integrable, orbits, lax, darboux",177,2019-09-24 07:12:00.000
72,"nonhermitian, hall, quantum hall, insulators, chern",135,2019-09-24 07:12:00.000
73,"community detection, centrality, complex networks, stochastic block, social",143,2019-09-24 07:12:00.000
74,"dislocation, grain, alloys, dislocations, alloy",148,2019-09-24 07:12:00.000
-1,"spin, video, electron, social, semantic",18983,2020-02-04 10:48:00.000
0,"stars, galaxies, dark, stellar, galaxy",10292,2020-02-04 10:48:00.000
1,"algebras, polynomials, elliptic, cohomology, varieties",6363,2020-02-04 10:48:00.000
2,"wireless, mimo, beamforming, 5g, iot",1676,2020-02-04 10:48:00.000
3,"particles, liquid, shear, turbulent, turbulence",1255,2020-02-04 10:48:00.000
4,"segmentation, ct, mri, clinical, cancer",861,2020-02-04 10:48:00.000
5,"speech, audio, speaker, asr, speech recognition",754,2020-02-04 10:48:00.000
6,"reinforcement learning, policy, robot, rl, robotic",651,2020-02-04 10:48:00.000
7,"vertex, coloring, bipartite, subgraph, chromatic",966,2020-02-04 10:48:00.000
8,"point cloud, scene, lidar, point clouds, camera",544,2020-02-04 10:48:00.000
9,"brownian, brownian motion, percolation, random walk, stochastic differential",946,2020-02-04 10:48:00.000
10,"games, regret, bandit, nash, social",592,2020-02-04 10:48:00.000
11,"qubits, gates, quantum computing, quantum circuits, quantum computers",316,2020-02-04 10:48:00.000
12,"privacy, federated, federated learning, private, fl",293,2020-02-04 10:48:00.000
13,"spin, hall, magnetization, ferromagnetic, antiferromagnetic",647,2020-02-04 10:48:00.000
14,"gans, captioning, image captioning, semantic, gan",194,2020-02-04 10:48:00.000
15,"estimators, posterior, nonparametric, lasso, copula",550,2020-02-04 10:48:00.000
16,"superconducting, superconductivity, superconductors, superconductor, majorana",533,2020-02-04 10:48:00.000
17,"pruning, nas, dnn, architecture search, fpga",489,2020-02-04 10:48:00.000
18,"seismic, pdes, earthquake, pde, physicsinformed",285,2020-02-04 10:48:00.000
19,"electricity, renewable, voltage, charging, power flow",472,2020-02-04 10:48:00.000
20,"finite element, galerkin, mesh, discretization, meshes",476,2020-02-04 10:48:00.000
21,"semantics, automata, logics, asp, languages",476,2020-02-04 10:48:00.000
22,"dialogue, social, news, social media, twitter",401,2020-02-04 10:48:00.000
23,"anomaly detection, hyperspectral, imagery, remote sensing, underwater",294,2020-02-04 10:48:00.000
24,"developers, software engineering, source code, software development, bugs",216,2020-02-04 10:48:00.000
25,"monolayer, exciton, excitons, conductivity, thermal",496,2020-02-04 10:48:00.000
26,"attacks, malware, iot, traffic, cyber",223,2020-02-04 10:48:00.000
27,"solar, coronal, reconnection, magnetic field, solar wind",387,2020-02-04 10:48:00.000
28,"quantum mechanics, bell, multipartite, nonlocality, quantum states",312,2020-02-04 10:48:00.000
29,"relu, gradient descent, learning rate, sgd, activation functions",293,2020-02-04 10:48:00.000
30,"trials, estimators, treatment effects, covariates, causal inference",212,2020-02-04 10:48:00.000
31,"eeg, brain, ecg, sleep, fmri",262,2020-02-04 10:48:00.000
32,"market, financial, stock, volatility, portfolio",280,2020-02-04 10:48:00.000
33,"metasurfaces, metasurface, plasmonic, photonic, dielectric",363,2020-02-04 10:48:00.000
34,"traffic, vehicles, vehicle, autonomous driving, autonomous vehicles",212,2020-02-04 10:48:00.000
35,"languages, machine translation, word, multilingual, nmt",331,2020-02-04 10:48:00.000
36,"controller, controllers, predictive control, model predictive, mpc",342,2020-02-04 10:48:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, defense",244,2020-02-04 10:48:00.000
38,"student, education, courses, teaching, educational",145,2020-02-04 10:48:00.000
39,"planning, robot, robots, motion planning, controller",197,2020-02-04 10:48:00.000
40,"recommendation, recommender, items, item, recommender systems",151,2020-02-04 10:48:00.000
41,"nonconvex, proximal, optimization problems, convex optimization, nonsmooth",233,2020-02-04 10:48:00.000
42,"atoms, photon, cavity, photons, rydberg",265,2020-02-04 10:48:00.000
43,"blockchain, contracts, transactions, smart contracts, blockchains",283,2020-02-04 10:48:00.000
44,"covid19, epidemic, disease, infection, pandemic",559,2020-02-04 10:48:00.000
45,"superresolution, video, denoising, image superresolution, deblurring",235,2020-02-04 10:48:00.000
46,"spiking, neurons, neuromorphic, spiking neural, snns",223,2020-02-04 10:48:00.000
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",290,2020-02-04 10:48:00.000
48,"action recognition, video, pose estimation, human pose, 3d human",200,2020-02-04 10:48:00.000
49,"gnns, graph neural, link prediction, graph convolutional, gnn",147,2020-02-04 10:48:00.000
50,"manybody, quantum systems, thermalization, chaotic, open quantum",214,2020-02-04 10:48:00.000
51,"traffic, mobility, travel, urban, routing",204,2020-02-04 10:48:00.000
52,"navierstokes, euler, navierstokes equations, compressible, euler equations",219,2020-02-04 10:48:00.000
53,"segmentation, object detection, semantic segmentation, semantic, instance segmentation",196,2020-02-04 10:48:00.000
54,"numerical reasoning, puzzles, independent numerical, skills, linguistic",3,2020-02-04 10:48:00.000
55,"superfluid, boseeinstein, condensate, vortex, bose",208,2020-02-04 10:48:00.000
56,"protein, drug, molecular, sarscov2, molecules",111,2020-02-04 10:48:00.000
57,"question answering, qa, documents, query, reading comprehension",102,2020-02-04 10:48:00.000
58,"domain adaptation, fewshot, unlabeled, active learning, target domain",194,2020-02-04 10:48:00.000
59,"transformers, selfattention, transformer models, pruning, language modeling",34,2020-02-04 10:48:00.000
60,"face recognition, facial, deepfake, antispoofing, fingerprint",165,2020-02-04 10:48:00.000
61,"molecular, dft, atomistic, interatomic, materials science",74,2020-02-04 10:48:00.000
62,"plasma, plasmas, ion, electron, tokamak",153,2020-02-04 10:48:00.000
63,"comb, laser, combs, fiber, soliton",163,2020-02-04 10:48:00.000
64,"key distribution, quantum key, qkd, secure, secret",135,2020-02-04 10:48:00.000
65,"laser, beam, electron, plasma, accelerator",187,2020-02-04 10:48:00.000
66,"climate, weather, precipitation, forecast, forecasts",91,2020-02-04 10:48:00.000
67,"clinical, biomedical, health, patient, notes",71,2020-02-04 10:48:00.000
68,"oscillators, species, kuramoto, prey, populations",153,2020-02-04 10:48:00.000
69,"gaze, vr, eye, virtual reality, participants",85,2020-02-04 10:48:00.000
70,"mds, selfdual, repair, reedsolomon, minimum distance",158,2020-02-04 10:48:00.000
71,"hamiltonian, orbits, integrable, periodic orbits, lagrangian",180,2020-02-04 10:48:00.000
72,"nonhermitian, quantum hall, insulators, hall, chern",116,2020-02-04 10:48:00.000
73,"community detection, centrality, stochastic block, complex networks, block model",167,2020-02-04 10:48:00.000
74,"dislocation, alloys, grain, alloy, dislocations",124,2020-02-04 10:48:00.000
-1,"spin, video, electron, social, semantic",20966,2020-06-16 14:24:00.000
0,"stars, galaxies, dark, stellar, galaxy",10919,2020-06-16 14:24:00.000
1,"algebras, varieties, polynomials, elliptic, cohomology",6371,2020-06-16 14:24:00.000
2,"wireless, mimo, beamforming, 5g, intelligent",1508,2020-06-16 14:24:00.000
3,"particles, shear, liquid, polymer, turbulent",1471,2020-06-16 14:24:00.000
4,"segmentation, ct, mri, clinical, cancer",1078,2020-06-16 14:24:00.000
5,"speech, audio, speaker, music, asr",1002,2020-06-16 14:24:00.000
6,"policy, reinforcement learning, robot, rl, robots",693,2020-06-16 14:24:00.000
7,"vertex, coloring, planar, chromatic, bipartite",1078,2020-06-16 14:24:00.000
8,"point cloud, point clouds, lidar, scene, camera",640,2020-06-16 14:24:00.000
9,"brownian, percolation, brownian motion, random walk, random variables",939,2020-06-16 14:24:00.000
10,"games, regret, bandit, bandits, nash",637,2020-06-16 14:24:00.000
11,"qubits, quantum computing, gates, quantum algorithms, quantum circuits",352,2020-06-16 14:24:00.000
12,"privacy, federated, federated learning, private, differential privacy",456,2020-06-16 14:24:00.000
13,"spin, hall, magnetization, antiferromagnetic, ferromagnetic",714,2020-06-16 14:24:00.000
14,"captioning, vqa, visual question, image captioning, gans",259,2020-06-16 14:24:00.000
15,"estimators, posterior, nonparametric, mcmc, statistic",592,2020-06-16 14:24:00.000
16,"superconducting, superconductivity, superconductors, superconductor, majorana",557,2020-06-16 14:24:00.000
17,"pruning, nas, architecture search, neural architecture, workloads",527,2020-06-16 14:24:00.000
18,"seismic, physicsinformed, pdes, partial differential, pde",295,2020-06-16 14:24:00.000
19,"electricity, voltage, renewable, charging, power flow",454,2020-06-16 14:24:00.000
20,"finite element, galerkin, mesh, discretization, discontinuous galerkin",512,2020-06-16 14:24:00.000
21,"automata, semantics, logics, languages, calculus",484,2020-06-16 14:24:00.000
22,"social, news, dialogue, social media, twitter",478,2020-06-16 14:24:00.000
23,"anomaly detection, hyperspectral, imagery, sar, remote sensing",310,2020-06-16 14:24:00.000
24,"developers, software engineering, software development, source code, bugs",259,2020-06-16 14:24:00.000
25,"metal, perovskite, monolayer, exciton, excitons",525,2020-06-16 14:24:00.000
26,"malware, attacks, iot, privacy, adversarial",246,2020-06-16 14:24:00.000
27,"solar, coronal, solar wind, magnetic field, reconnection",408,2020-06-16 14:24:00.000
28,"bell, quantum mechanics, multipartite, nonlocality, quantum information",347,2020-06-16 14:24:00.000
29,"relu, gradient descent, activation functions, sgd, dropout",393,2020-06-16 14:24:00.000
